;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
5139;30000000;Universal Pictures;Horror;42100625;Drag Me to Hell;6,6;166655;2009;;;;
5140;50000000;Universal Pictures;Comedy;7994115;Pirate Radio;7,4;95825;2009;;;;
5141;26000000;Gaumont;Drama;16999046;Splice: experimento mortal;5,8;83205;2009;;;;
5142;35000000;Sketch Films;Action;45802315;Underworld: Rise of the Lycans;6,6;132542;2009;;;;
5143;20000000;Lionsgate;Action;30101577;La hermandad;6,5;110514;2009;;;;
5144;175000000;DreamWorks Animation;Animation;198351526;Monsters vs. Aliens;6,5;123919;2009;;;;
5145;26000000;Columbia Pictures;Action;20819129;Paul Blart: Mall Cop;5,2;89303;2009;;;;
5146;100000000;Columbia Pictures;Action;65452312;The Taking of Pelham 123;6,4;160641;2009;;;;
5147;39000000;New Line Cinema;Drama;63414846;The Time Traveler's Wife;7,1;122959;2009;;;;
5148;50000000;Summit Entertainment;Drama;79957634;Knowing;6,2;197063;2009;;;;
5149;7000000;Focus Features;Comedy;9190525;A Serious Man;7;110208;2009;;;;
5150;100000000;Columbia Pictures;Animation;124870275;Cloudy with a Chance of Meatballs;7;167156;2009;x;;;
5151;25000000;BBC Films;Comedy;32416109;The Men Who Stare at Goats;6,2;114722;2009;;;;
5152;6000000;Fox Atomic;Comedy;4542775;Miss March;5;19111;2009;;;;
5153;0;Miramax;Comedy;16025394;Adventureland;6,8;139072;2009;;;;
5154;16000000;Warner Bros.;Drama;15045676;The Box;5,6;80381;2009;;;;
5155;6000000;LD Entertainment;Horror;7706394;The Collector;6,4;47291;2009;;;;
5156;60000000;Warner Bros.;Biography;37491364;Invictus;7,4;132427;2009;;;;
5157;0;Screen Gems;Crime;29062561;The Stepfather;5,6;25186;2009;;;;
5158;150000000;Twentieth Century Fox Film Corporation;Adventure;177243721;Night at the Museum: Battle of the Smithsonian;5,9;143636;2009;;;;
5159;100000000;Universal Pictures;Adventure;49438370;Land of the Lost;5,4;54864;2009;;;;
5160;26000000;Paramount Vantage;Horror;13248477;Case 39;6,2;65254;2009;;;;
5161;85000000;Universal Pictures;Comedy;112735375;It's Complicated;6,6;74245;2009;;;;
5162;100000000;Warner Bros.;Adventure;77233467;Donde viven los monstruos;6,8;91833;2009;;;;
5163;20000000;Lionsgate;Action;13630226;Crank: High Voltage;6,2;121567;2009;;;;
5164;7000000;Fox Searchlight Pictures;Drama;39462438;Crazy Heart;7,3;73161;2009;;;;
5165;16000000;Rogue Pictures;Drama;42670410;The Unborn;4,8;44283;2009;;;;
5166;35000000;DreamWorks;Comedy;73034460;Hotel para perros;5,4;17784;2009;;;;
5167;30000000;It's a Laugh Productions;Comedy;79566871;Hannah Montana: The Movie;4,3;34118;2009;;;;
5168;0;Yellow Bird;Crime;9081782;The Girl Who Played with Fire;7,2;78771;2009;;;;
5169;70000000;Mod Producciones;Adventure;617840;Agora;7,2;56850;2009;;;;
5170;20000000;Screen Gems;Drama;68261644;Obsessed;4,9;24499;2009;;;;
5171;0;Universal Pictures;Drama;37017955;State of Play;7,1;118835;2009;;;;
5172;0;Barbarian Films;Comedy;249590;Spread;5,9;34153;2009;;;;
5173;42000000;Universal Pictures;Comedy;60054530;Brüno;5,8;125840;2009;;;;
5174;10000000;Universal Pictures;Mystery;25464480;The Fourth Kind;5,9;66304;2009;;;;
5175;0;Lionsgate;Drama;55389516;The Haunting in Connecticut;5,9;53262;2009;;;;
5176;40000000;Warner Bros.;Action;38105077;Ninja Assassin;6,4;60987;2009;;;;
5177;0;Tyler Perry Company, The;Comedy;90485233;Madea Goes to Jail;4,3;10052;2009;;;;
5178;15000000;Sony Pictures Classics;Comedy;5306447;Whatever Works;7,2;62933;2009;;;;
5179;35000000;Warner Bros.;Action;10275638;Whiteout;5,5;33530;2009;;;;
5180;0;Dreamlab;Drama;106662;About Elly;8,1;31740;2009;;;;
5181;22000000;Paramount Pictures;Comedy;723714;Middle Men;6,6;33978;2009;;;;
5182;0;Jon Shestack Productions;Comedy;55250026;Ghosts of Girlfriends Past;5,8;71836;2009;;;;
5183;18500000;Warner Bros.;Comedy;18439082;The Invention of Lying;6,4;99595;2009;;;;
5184;8000000;Ternion Pictures;Comedy;10814185;Extract;6,2;39493;2009;;;;
5185;90000000;Twentieth Century Fox Animation;Animation;196573705;Ice Age: Dawn of the Dinosaurs;7;182575;2009;;x;;
5186;0;Why Not Productions;Crime;2084637;A Prophet;7,9;83124;2009;;;;
5187;0;BBC Films;Comedy;2384044;In the Loop;7,5;47137;2009;;;;
5188;75000000;Fox 2000 Pictures;Animation;219614612;Alvin and the Chipmunks: The Squeakquel;4,5;34731;2009;;x;;
5189;14000000;Rogue;Adventure;15483540;A Perfect Getaway;6,5;59667;2009;;;;
5190;15000000;Mandate Pictures;Drama;13043363;Whip It;6,9;58138;2009;;;;
5191;200000000;Walt Disney Pictures;Animation;137855863;A Christmas Carol;6,8;80819;2009;;;;
5192;0;X-Filme Creative Pool;Drama;2222647;The White Ribbon;7,8;57685;2009;;;;
5193;50000000;Columbia Pictures;Action;25450527;The International;6,5;83114;2009;;;;
5194;0;Touchstone Pictures;Comedy;44277350;Confessions of a Shopaholic;5,9;66680;2009;;;;
5195;35000000;Walt Disney Pictures;Comedy;49492060;Old Dogs;5,4;32674;2009;;;;
5196;0;BBC Films;Drama;373060;Fish Tank;7,3;51481;2009;;;;
5197;0;Rogue Pictures;Action;23036320;Fighting;5,6;29024;2009;;;;
5198;8000000;Stage 6 Films;Action;10269307;The Boondock Saints II: All Saints Day;6,3;55823;2009;;;;
5199;17000000;Millennium Films;Crime;27154426;Brooklyn's Finest;6,7;55183;2009;;;;
5200;2900000;Destination Films;Action;228477;Black Dynamite;7,4;38535;2009;;;;
5201;22000000;Warner Bros.;Comedy;33313582;The Informant!;6,5;55457;2009;;;;
5202;18000000;De Line Pictures;Comedy;23993605;Observe and Report;5,8;54428;2009;;;;
