;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4;Franchise;Disney_princess
160;175000000.0;Pixar Animation Studios;Animation;293004164.0;Up;8.3;743601.0;2009.0;;;;;;
161;105000000.0;Walt Disney Animation Studios;Animation;104400899.0;The Princess and the Frog;7.1;97887.0;2009.0;;;;;;
162;30000000.0;Focus Features;Animation;31743332.0;9;7.1;117268.0;2009.0;;;;;;
163;175000000.0;DreamWorks Animation;Animation;198351526.0;Monsters vs. Aliens;6.5;123919.0;2009.0;;;;;;
164;100000000.0;Columbia Pictures;Animation;124870275.0;Cloudy with a Chance of Meatballs;7;167156.0;2009.0;x;;;;Cloudy with a Chance of Meatballs;
165;90000000.0;Twentieth Century Fox Animation;Animation;196573705.0;Ice Age: Dawn of the Dinosaurs;7;182575.0;2009.0;;x;;;Ice Age;
166;75000000.0;Fox 2000 Pictures;Animation;219614612.0;Alvin and the Chipmunks: The Squeakquel;4.5;34731.0;2009.0;;x;;;Alvin and the Chipmunks;
167;200000000.0;Walt Disney Pictures;Animation;137855863.0;A Christmas Carol;6.8;80819.0;2009.0;;;;;;
168;45000000.0;Twentieth Century Fox Film Corporation;Animation;25200412.0;Aliens in the Attic;5.4;17909.0;2009.0;;;;;;
169;0.0;Les Armateurs;Animation;686383.0;The Secret of Kells;7.7;25381.0;2009.0;;;;;;
170;150000000.0;Jerry Bruckheimer Films;Animation;119436770.0;G-Force;5.1;35516.0;2009.0;;;;;;
171;65000000.0;Imagi Animation Studios;Animation;19548064.0;Astro Boy;6.3;27771.0;2009.0;;;;;;
172;70000000.0;Ilion Animation Studios;Animation;42086887.0;Planeta 51;6.1;43788.0;2009.0;;;;;;
173;0.0;Madhouse;Animation;78182.0;Summer Wars;7.6;19440.0;2009.0;;;;;;
174;0.0;EuropaCorp;Animation;347136.0;Arthur and the Revenge of Maltazard;5.3;6110.0;2009.0;;;;;;
175;69000000.0;Universal Pictures;Animation;251513985.0;Despicable Me;7.7;422190.0;2010.0;x;;;;Despicable Me;
176;260000000.0;Walt Disney Animation Studios;Animation;200821936.0;Tangled;7.8;325621.0;2010.0;;;;;;Princess
177;200000000.0;Walt Disney Pictures;Animation;415004880.0;Toy Story 3;8.3;603472.0;2010.0;;;x;;Toy Story;
178;165000000.0;DreamWorks Animation;Animation;217581231.0;How to Train Your Dragon;8.1;538360.0;2010.0;x;;;;How to Train Your Dragon;
179;130000000.0;DreamWorks Animation;Animation;148415853.0;Megamind;7.3;188234.0;2010.0;;;;;;
180;165000000.0;DreamWorks Animation;Animation;238371987.0;Shrek Forever After;6.3;150636.0;2010.0;;;;x;Shrek;
181;80000000.0;Warner Bros.;Animation;55675313.0;Legend of the Guardians: The Owls of Ga'Hoole;7;69624.0;2010.0;;;;;;
182;23000000.0;Studio Ghibli;Animation;19202743.0;The Secret World of Arrietty;7.6;59799.0;2010.0;;;;;;
183;80000000.0;Warner Bros.;Animation;100246011.0;Yogi Bear;4.6;17533.0;2010.0;;;;;;
184;20000000.0;Lions Gate Family Entertainment;Animation;25077977.0;Alpha and Omega;5.3;11636.0;2010.0;;;;;;
185;135000000.0;Paramount Pictures;Animation;123477607.0;Rango;7.2;198267.0;2011.0;;;;;;
186;200000000.0;Walt Disney Pictures;Animation;191452396.0;Cars 2;6.2;116477.0;2011.0;;x;;;Cars;
187;135000000.0;Columbia Pictures;Animation;77591831.0;The Adventures of Tintin;7.4;188070.0;2011.0;;;;;;
188;90000000.0;Twentieth Century Fox Animation;Animation;143619809.0;Rio;6.9;177152.0;2011.0;x;;;;Rio;
189;110000000.0;Columbia Pictures;Animation;142614158.0;The Smurfs;5.5;71925.0;2011.0;x;;;;The Smurfs;
190;150000000.0;DreamWorks Animation;Animation;165249063.0;Kung Fu Panda 2;7.3;203107.0;2011.0;;x;;;Kung Fu Panda;
191;36000000.0;Touchstone Pictures;Animation;99967670.0;Gnomeo & Juliet;6;45274.0;2011.0;;;;;;
192;130000000.0;DreamWorks Animation;Animation;149260504.0;Puss in Boots;6.7;122582.0;2011.0;;;;;;
193;63000000.0;Universal Pictures;Animation;108085305.0;Hop;5.5;26043.0;2011.0;;;;;;
194;30000000.0;Walt Disney Pictures;Animation;26692846.0;Winnie the Pooh;7.2;16941.0;2011.0;;;;;;
195;135000000.0;Warner Bros.;Animation;64006466.0;Happy Feet Two;5.9;34974.0;2011.0;;x;;;Happy Feet;
196;75000000.0;Fox 2000 Pictures;Animation;133110742.0;Alvin and the Chipmunks: Chipwrecked;4.4;24939.0;2011.0;;;x;;Alvin and the Chipmunks;
197;22000000.0;Studio Ghibli;Animation;1002895.0;From Up on Poppy Hill;7.5;22336.0;2011.0;;;;;;
198;165000000.0;Walt Disney Animation Studios;Animation;189422889.0;Wreck-It Ralph;7.7;298207.0;2012.0;;;;;;
199;185000000.0;Walt Disney Pictures;Animation;237283207.0;Brave;7.2;302017.0;2012.0;;;;;;Princess
200;85000000.0;Columbia Pictures;Animation;148313048.0;Hotel Transylvania;7.1;180944.0;2012.0;x;;;;Hotel Transylvania;
201;145000000.0;DreamWorks Animation;Animation;103412758.0;Rise of the Guardians;7.3;133291.0;2012.0;;;;;;
202;70000000.0;Universal Pictures;Animation;214030500.0;The Lorax;6.4;83314.0;2012.0;;;;;;
203;60000000.0;Focus Features;Animation;56003051.0;ParaNorman;7;79594.0;2012.0;;;;;;
204;95000000.0;Blue Sky Studios;Animation;161321843.0;Ice Age: Continental Drift;6.6;158545.0;2012.0;;;x;;Ice Age;
205;145000000.0;DreamWorks Animation;Animation;216391482.0;Madagascar 3: Europe's Most Wanted;6.9;130435.0;2012.0;;;x;;Madagascar;
206;39000000.0;Walt Disney Pictures;Animation;35291068.0;Frankenweenie;7;81006.0;2012.0;;;;;;
207;55000000.0;Columbia Pictures;Animation;31051126.0;The Pirates! Band of Misfits;6.7;38842.0;2012.0;;;;;;
208;150000000.0;Walt Disney Animation Studios;Animation;400738009.0;Frozen;7.5;464149.0;2013.0;;;;;;Princess
209;76000000.0;Universal Pictures;Animation;368061265.0;Despicable Me 2;7.4;314045.0;2013.0;;x;;;Despicable Me;
210;135000000.0;DreamWorks Animation;Animation;187168425.0;The Croods;7.2;163313.0;2013.0;;;;;;
211;200000000.0;Walt Disney Pictures;Animation;268492764.0;Monsters University;7.3;258992.0;2013.0;;;;;;
212;105000000.0;Columbia Pictures;Animation;71017784.0;The Smurfs 2;5.4;30631.0;2013.0;;x;;;The Smurfs;
213;100000000.0;Twentieth Century Fox Animation;Animation;107518682.0;Epic;6.7;90501.0;2013.0;;;;;;
214;78000000.0;Columbia Pictures;Animation;119793567.0;Cloudy with a Chance of Meatballs 2;6.4;71615.0;2013.0;;x;;;Cloudy with a Chance of Meatballs;
215;30000000.0;Studio Ghibli;Animation;5209580.0;Se levanta el viento;7.8;51601.0;2013.0;;;;;;
216;135000000.0;DreamWorks Animation;Animation;83028128.0;Turbo;6.5;67648.0;2013.0;;;;;;
217;50000000.0;Prana Studios;Animation;90288712.0;Planes;5.8;37338.0;2013.0;;;;;;
218;0.0;Studio Ghibli;Animation;1506975.0;The Tale of the Princess Kaguya;8.1;23571.0;2013.0;;;;;;
219;0.0;Bridgit Folman Film Gang;Animation;137815.0;The Congress;6.5;14289.0;2013.0;;;;;;
220;60000000.0;Warner Bros.;Animation;257760692.0;The Lego Movie;7.8;274608.0;2014.0;;;;;;
221;165000000.0;FortyFour Studios;Animation;222527828.0;Big Hero 6;7.8;320396.0;2014.0;;;;;;
222;50000000.0;Reel FX Creative Studios;Animation;50151543.0;The Book of Life;7.3;51976.0;2014.0;;;;;;
